OBJECTID,RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT
18234,18234,7868369,3877428,2,2011,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,,,
18235,18235,5779131,8393283,1,2011,Black,M,18-21,Assault W/I to Kill,Violent,,M5,Incarceration,60,0,60,0,100,,,
18236,18236,600143,1089926,1,2011,Black,M,18-21,Robbery,Violent,,M6,Incarceration,24,0,24,0,100,,,
18237,18237,6293919,9412959,1,2011,White,M,22-30,Prisoner Escape,Other,,M9,Incarceration,8,0,8,0,100,,,
18238,18238,7764110,3288020,1,2011,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,10,10,0,11,100,,,
18239,18239,2951039,4086026,1,2011,Black,M,15-17,Attempt to Commit Robbery,Violent,,M8,Incarceration,24,0,24,0,100,,,
18240,18240,19239,6793189,1,2011,Black,M,18-21,Aslt W/I to Commit First Deg Sex Abuse,Violent,,M6,Incarceration,40,0,40,0,100,0,0,0
18241,18241,19239,6793189,2,2011,Black,M,18-21,Robbery,Violent,,M6,Incarceration,40,0,40,0,100,0,0,0
18242,18242,3265891,6793189,1,2011,Black,M,18-21,Robbery,Violent,,M5,Incarceration,48,0,48,0,100,0,0,0
18243,18243,6776832,6793189,1,2011,Black,M,18-21,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,40,0,40,0,100,0,0,0
18244,18244,6776832,6793189,2,2011,Black,M,18-21,Carry Dang Weapon-Outside Home/Business,Weapon,,M8,Incarceration,19,0,19,0,100,0,0,0
18245,18245,6776832,6793189,3,2011,Black,M,18-21,Burglary Two,Property,,M8,Incarceration,12,0,12,0,100,0,0,0
18246,18246,9204066,35324,4,2011,Black,F,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,500,,,
18247,18247,7864286,2053551,3,2011,Black,F,41-50,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,500,,,
18248,18248,1253299,8935417,3,2011,Black,F,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,500,0,0,0
18249,18249,5613649,1934045,3,2011,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,10,0,10,0,100,,,
18250,18250,5613649,1934045,4,2011,Black,M,18-21,Destruction of Property over $200,Property,,M8,Incarceration,10,0,10,0,100,,,
18251,18251,8139793,7098422,1,2011,Black,M,18-21,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,18,0,18,0,100,,,
18252,18252,9936824,7914666,1,2011,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,12,12,0,18,100,,,
18253,18253,4707030,972083,1,2011,Black,M,18-21,Robbery,Violent,,M8,Probation,24,24,0,36,100,,,
18254,18254,4282911,3061619,1,2011,White,M,22-30,Second Degree Cruelty to Children Grave Risk,Other,,M8,Short Split,18,12,6,24,100,,,
18255,18255,109607,4906891,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,,,
18256,18256,5419313,5087700,1,2011,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,18,0,18,0,100,,,
18257,18257,3570560,6257463,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,,,
18258,18258,5117622,7217304,2,2011,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,14,14,0,18,100,,,
18259,18259,7817767,7932051,1,2011,Black,,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,72,0,72,0,100,,,
18260,18260,9529505,7766231,1,2011,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,,,
18261,18261,324823,1685282,1,2011,Black,M,18-21,Distribution Of a Controlled Substance,Drug,,D2,Probation,20,20,0,24,100,,,
18262,18262,1158672,6551083,1,2011,Other or Unknown,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,,,
18263,18263,6643274,8861556,1,2011,Black,,18-21,Robbery,Violent,,M8,Incarceration,10,0,10,0,100,,,
18264,18264,8289813,896048,1,2011,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,14,14,0,24,100,,,
18265,18265,9863754,9431794,1,2011,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D2,Probation,20,20,0,12,100,0,0,0
18266,18266,6736228,7564003,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,5,0,5,0,100,0,0,0
18267,18267,6736228,7564003,4,2011,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,12,0,12,0,100,0,0,0
18268,18268,2661908,274519,1,2011,Black,M,18-21,Receiving Stolen Property $1000 or More,Property,,M9,Probation,6,6,0,24,100,,,
18269,18269,2661908,274519,2,2011,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Probation,9,9,0,24,100,,,
18270,18270,2661908,274519,4,2011,Black,M,18-21,Destruction of Property over $200,Property,,M8,Probation,6,6,0,24,100,,,
18271,18271,2661908,274519,5,2011,Black,M,18-21,Destruction of Property over $200,Property,,M8,Probation,6,6,0,24,100,,,
18272,18272,2070288,25768,3,2011,Black,M,18-21,Offenses Committed During Release,Other,,M9,Probation,12,12,0,144,100,,,
18273,18273,7755937,750122,1,2011,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,32,0,32,0,100,0,0,0
18274,18274,9410054,8601421,1,2011,Black,M,22-30,Burglary Two,Property,,M7,Incarceration,24,0,24,0,100,,,
18275,18275,6241341,2068402,1,2011,Black,M,18-21,Receiving Stolen Property $1000 or More,Property,,M9,Incarceration,18,0,18,0,100,0,0,0
18276,18276,6241341,2068402,3,2011,Black,M,18-21,Destruction of Property over $200,Property,,M8,Incarceration,10,0,10,0,100,0,0,0
18277,18277,1938107,7758869,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,24,18,6,36,100,,,
18278,18278,6681587,1102309,1,2011,Black,F,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,6,6,0,12,100,,,
18279,18279,4951101,6057047,1,2011,White,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Probation,14,14,0,18,250,,,
18280,18280,7894163,8072500,1,2011,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,24,0,24,0,100,,,
18281,18281,9212164,1734594,1,2011,Black,F,31-40,Burglary Two,Property,,M7,Short Split,24,24,1,12,100,,,
18282,18282,490224,5085708,1,2011,Black,M,15-17,Unauthorized Use of A Vehicle,Property,,M8,Short Split,10,10,1,12,100,,,
18283,18283,6029217,6889219,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,20,0,20,0,100,,,
18284,18284,4747572,3970174,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,12,12,1,24,100,,,
18285,18285,4429858,3154497,1,2011,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,18,17,1,24,100,,,
18286,18286,6064538,1091886,1,2011,Black,F,41-50,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,18,0,18,0,100,,,
18287,18287,5619529,9331873,1,2011,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
18288,18288,5619529,9331873,2,2011,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
18289,18289,4912176,2889118,1,2011,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,16,16,0,18,100,,,
18290,18290,1601401,4279593,1,2011,Black,F,31-40,Distribution Of a Controlled Substance,Drug,,D3,Short Split,14,14,1,12,100,,,
18291,18291,8233043,7083571,1,2011,Black,M,18-21,Robbery,Violent,,M8,Incarceration,12,0,12,0,100,,,
18292,18292,8233043,7083571,2,2011,Black,M,18-21,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,12,0,12,0,100,,,
18293,18293,5003439,8004428,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,30,0,30,0,100,,,
18294,18294,8274516,6847380,1,2011,Black,F,18-21,Robbery,Violent,,M8,Incarceration,15,0,15,0,100,,,
18295,18295,8274516,6847380,2,2011,Black,F,18-21,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,15,0,15,0,100,,,
18296,18296,8623839,5110734,4,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,30,24,6,24,400,,,
18297,18297,1091266,9121144,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,18,18,0,12,100,,,
18298,18298,1915690,6928465,1,2011,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,10,0,10,0,100,,,
18299,18299,7699909,5587678,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,,,
18300,18300,4189623,1069187,4,2011,White,M,22-30,Offenses Committed During Release,Other,,M9,Incarceration,12,0,12,0,100,,,
18301,18301,1155496,8014657,4,2011,Other or Unknown,M,22-30,Destruction of Property over $200,Property,,M8,Probation,24,24,0,12,100,,,
18302,18302,974567,2858366,1,2011,Black,M,51-60,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,12,250,,,
18303,18303,5975709,9385205,1,2011,Black,F,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,,,
18304,18304,6968481,8692638,1,2011,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Short Split,15,15,1,24,100,,,
18305,18305,8983081,414664,1,2011,Black,F,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,6,6,0,12,100,,,
18306,18306,4537341,5729723,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,0,0,0
18307,18307,7646237,1643461,2,2011,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,14,12,2,12,100,,,
18308,18308,5807270,2564925,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,,,
18309,18309,6790145,4243766,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,18,18,0,12,100,,,
18310,18310,2240562,7589718,1,2011,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Probation,21,21,0,36,100,0,0,0
18311,18311,4263895,3197055,1,2011,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,,,
18312,18312,4299366,838882,1,2011,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,15,9,6,18,100,,,
18313,18313,3471426,7208959,2,2011,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,18,17,1,24,100,,,
18314,18314,2385626,1380905,1,2011,Black,F,51-60,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,10,0,10,0,100,,,
18315,18315,9406815,399915,1,2011,Black,F,31-40,Distribution Of a Controlled Substance,Drug,,D3,Short Split,24,18,6,18,100,,,
18316,18316,6460710,6190357,1,2011,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,18,18,0,24,400,,,
18317,18317,5849141,5406374,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,,,
18318,18318,4292165,6136844,1,2011,Black,F,31-40,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,18,0,18,0,100,,,
18319,18319,8368194,9372465,1,2011,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,,,
18320,18320,3704327,8581019,2,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,7,7,0,12,100,,,
18321,18321,3741766,11560,1,2011,White,M,31-40,Assault On A Police Officer,Violent,,M7,Incarceration,12,0,12,0,100,,,
18322,18322,3741766,11560,2,2011,White,M,31-40,Robbery,Violent,,M8,Incarceration,6,0,6,0,100,,,
18323,18323,8894439,2576333,2,2011,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,18,15,3,12,100,,,
18324,18324,1963913,5479695,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,24,21,3,24,100,,,
18325,18325,3837135,2273014,1,2011,Black,M,18-21,Robbery,Violent,,M6,Short Split,30,24,6,24,100,,,
18326,18326,7348046,6261179,2,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,20,20,0,12,150,,,
18327,18327,2770896,8250422,1,2011,Black,M,31-40,Aggravated Aslt Knowingly Grave Risk,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
18328,18328,6375051,3344651,1,2011,White,M,22-30,Fraud 1st Deg $1000 or More,Other,,M9,Probation,12,12,0,48,100,,12700,
18329,18329,3122495,4843513,1,2011,Black,M,18-21,Burglary Two,Property,,M8,Probation,20,20,0,24,250,,,
18330,18330,4521662,8606229,1,2011,Black,M,18-21,Robbery,Violent,,M8,Short Split,24,20,4,36,100,,,
18331,18331,9252001,2220469,1,2011,Black,M,41-50,Robbery,Violent,,M6,Incarceration,48,0,48,0,100,,,
18332,18332,9894410,9023834,1,2011,Black,M,41-50,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,20,0,20,0,100,,500,
18333,18333,2739243,1662698,2,2011,Other or Unknown,,18-21,Kidnapping,Violent,,M5,Incarceration,78,0,78,0,100,,,
18334,18334,2739243,1662698,5,2011,Other or Unknown,,18-21,Robbery,Violent,,M5,Incarceration,78,0,78,0,100,,,
18335,18335,7877668,8355102,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,20,0,20,0,100,,,
18336,18336,816624,3263628,1,2011,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,8,0,8,0,100,,,
18337,18337,629925,7459748,1,2011,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,,,
18338,18338,4770896,8360617,2,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,16,16,0,24,100,,,
18339,18339,4125719,735442,1,2011,Black,M,18-21,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,,,
18340,18340,4125719,735442,2,2011,Black,M,18-21,Unarmed Carjacking,Violent,,M5,Incarceration,84,0,84,0,100,,,
18341,18341,7506317,1658689,1,2011,White,M,22-30,Prisoner Escape,Other,,M9,Incarceration,6,0,6,0,100,,,
18342,18342,9329910,2251255,1,2011,Black,M,22-30,Involuntary Manslaughter,Homicide,Involuntary Manslaughter,M5,Incarceration,60,0,60,0,100,,,
18343,18343,3074156,1581317,1,2011,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,10,10,0,18,100,,,
18344,18344,1470277,4080699,1,2011,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,22,0,22,0,100,,,
18345,18345,75398,8154690,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,18,100,,,
18346,18346,4183976,2863843,1,2011,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,36,0,36,0,100,,,
18347,18347,9824034,7711773,1,2011,Black,F,51-60,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,1,0,1,0,100,,,
18348,18348,8777922,2763264,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Long Split,34,6,28,36,100,,,
18349,18349,3618620,2147588,1,2011,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,18,0,18,0,100,,,
18350,18350,6237329,976016,1,2011,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Short Split,30,24,6,24,450,,,
18351,18351,5919150,9424315,1,2011,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,30,0,30,0,100,,,
18352,18352,5919150,9424315,2,2011,Black,M,18-21,Destruction of Property over $200,Property,,M8,Incarceration,12,0,12,0,100,,,
18353,18353,9697349,6426158,1,2011,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,6,3,3,12,100,,,
18354,18354,4090085,7274802,1,2011,Black,M,18-21,Burglary Two,Property,,M7,Short Split,18,12,6,12,100,,,
18355,18355,6612264,6596697,1,2011,Black,F,41-50,Bail Reform Act -Felony,Other,,M9,Short Split,12,9,3,12,100,,,
18356,18356,2783940,375935,1,2011,Black,M,51-60,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,10,10,0,18,100,,,
18357,18357,1274666,2946720,1,2011,Black,M,18-21,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,12,12,1,18,100,,,
18358,18358,2948412,6931351,1,2011,Black,M,41-50,Assault With A Dangerous Weapon,Violent,,M6,Long Split,60,42,18,24,100,,,
18359,18359,6730134,6001265,1,2011,Black,M,18-21,Receiving Stolen Property $1000 or More,Property,,M9,Incarceration,12,0,12,0,100,,,
18360,18360,6730134,6001265,2,2011,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,18,0,18,0,100,,,
18361,18361,1813641,9136415,1,2011,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,30,0,30,0,150,,,
18362,18362,1409115,4286584,1,2011,Black,M,41-50,Burglary Two,Property,,M7,Incarceration,30,0,30,0,100,,,
18363,18363,5142097,2787643,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,24,0,24,0,100,0,0,0
18364,18364,3569127,9009754,1,2011,White,M,41-50,Obtain Controlled Substance By Fraud,Drug,,D3,Short Split,20,20,1,12,100,,,
18365,18365,3569127,9009754,2,2011,White,M,41-50,Obtain Controlled Substance By Fraud,Drug,,D3,Short Split,20,20,1,12,100,,,
18366,18366,1439638,9420702,1,2011,White,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,6,6,0,12,100,,,
18367,18367,5247892,4751901,1,2011,Black,M,22-30,First Degree Sex Abuse- Force,Sex,,M2,Incarceration,204,0,204,0,100,,,
18368,18368,1653741,286690,1,2011,Black,F,51-60,Distribution Of a Controlled Substance,Drug,,D2,Short Split,24,20,4,24,100,,,
18369,18369,2143897,7163657,1,2011,Black,F,31-40,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,,,
18370,18370,7448067,188238,1,2011,Black,M,18-21,Prison Breach,Other,,M9,Short Split,16,13,3,24,450,,,
18371,18371,642640,9351137,2,2011,Black,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,10,0,10,0,100,,,
18372,18372,278783,2428812,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,15,14,1,18,100,,,
18373,18373,2322883,5283813,1,2011,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,,,
18374,18374,9071092,5193933,1,2011,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,60,0,60,0,100,0,0,0
18375,18375,9071092,5193933,2,2011,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Incarceration,18,0,18,0,100,0,0,0
18376,18376,5862453,6529143,3,2011,Black,,31-40,Destruction of Property over $200,Property,,M8,Incarceration,18,0,18,0,100,,,
18377,18377,6684985,9051254,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,30,24,6,60,100,,,
18378,18378,8547506,3441738,1,2011,Black,M,61-70,Distribution Of a Controlled Substance,Drug,,D2,Probation,10,10,0,24,100,,,
18379,18379,8248238,5117810,2,2011,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Incarceration,18,0,18,0,200,,,
18380,18380,47175,6898165,1,2011,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction > 1 yr ),Weapon,,M7,Long Split,18,6,12,24,100,,,
18381,18381,9162751,7644290,1,2011,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Incarceration,18,0,18,0,100,,,
18382,18382,1726218,5405318,1,2011,White,M,31-40,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,,,
18383,18383,8828518,5546802,1,2011,Black,M,51-60,Assault With A Dangerous Weapon,Violent,,M6,Long Split,39,27,12,18,100,0,0,0
18384,18384,8441582,9863979,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,,,
18385,18385,6248224,3215187,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Short Split,24,18,6,24,100,,,
18386,18386,8465774,3528880,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,6,0,6,0,100,,,
18387,18387,6560116,2129201,1,2011,Black,F,41-50,Assault with Significant Bodily Injury,Violent,,M8,Incarceration,24,0,24,0,750,,,
18388,18388,1231727,1725597,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,,,
18389,18389,1835882,7326261,2,2011,Black,F,41-50,Conspiracy,Other,,M9,Probation,6,6,0,24,100,0,0,0
18390,18390,1835882,7326261,3,2011,Black,F,41-50,Perjury,Other,,M8,Probation,18,18,0,24,100,0,0,0
18391,18391,369781,5292138,1,2011,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,30,0,30,0,100,,,
18392,18392,9084505,1743976,1,2011,Black,M,22-30,Conspiracy,Other,,M9,Incarceration,12,0,12,0,100,,,
18393,18393,9084505,1743976,2,2011,Black,M,22-30,Robbery,Violent,,M6,Incarceration,30,0,30,0,100,,,
18394,18394,9084505,1743976,3,2011,Black,M,22-30,Receiving Stolen Property $1000 or More,Property,,M9,Incarceration,12,0,12,0,100,,,
18395,18395,9084505,1743976,4,2011,Black,M,22-30,Offenses Committed During Release,Other,,M9,Incarceration,12,0,12,0,100,,,
18396,18396,9277607,6157811,1,2011,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M6,Incarceration,57,0,57,0,100,,,
18397,18397,9277607,6157811,2,2011,Black,M,22-30,Carry Dang Weapon-Outside Home/Business,Weapon,,M8,Incarceration,27,0,27,0,100,,,
18398,18398,9277607,6157811,3,2011,Black,M,22-30,Carry Dang Weapon-Outside Home/Business,Weapon,,M8,Incarceration,27,0,27,0,100,,,
18399,18399,8621627,1067973,1,2011,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,12,8,4,18,450,,,
18400,18400,7523993,7137693,1,2011,Black,F,51-60,Distribution Of a Controlled Substance,Drug,,D3,Probation,15,15,0,18,100,,,
18401,18401,4716659,2189522,1,2011,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D3,Incarceration,15,0,15,0,100,,,
18402,18402,6246598,8162397,1,2011,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Probation,20,20,0,18,100,,,
18403,18403,7645895,8028172,1,2011,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,12,0,12,0,100,,,
18404,18404,4438634,7601677,1,2011,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,12,100,,,
18405,18405,5300134,7137356,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Short Split,18,17,1,18,100,,,
18406,18406,2970528,8134624,1,2011,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,42,0,42,0,100,,,
18407,18407,4827721,875605,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,18,0,18,0,100,0,0,0
18408,18408,4579289,8193040,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,12,0,12,0,100,,,
18409,18409,3325760,5107656,1,2011,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,20,20,0,12,100,,,
18410,18410,574511,3118595,1,2011,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,36,0,36,0,100,,,
18411,18411,9640771,5335124,1,2011,Black,M,22-30,Robbery,Violent,,M8,Incarceration,6,0,6,0,100,,,
18412,18412,8278382,6801992,5,2011,Black,M,18-21,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,,,
18413,18413,6298100,8038101,1,2011,Black,M,18-21,Burglary Two,Property,,M7,Short Split,18,12,6,12,100,,,
18414,18414,3066665,6222585,1,2011,Black,M,41-50,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,12,12,0,12,250,,,
18415,18415,2869225,5048155,1,2011,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D2,Incarceration,20,0,20,0,100,0,0,0
18416,18416,7843294,6575926,1,2011,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,8,8,1,12,100,,,
18417,18417,8940797,5828836,1,2011,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,20,20,0,12,100,,,
18418,18418,5363657,3272189,1,2011,Black,M,51-60,Burglary Two,Property,,M8,Incarceration,24,0,24,0,100,,2000,
18419,18419,3960979,1034494,1,2011,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,30,0,30,0,100,,,
18420,18420,4539359,6539014,1,2011,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M6,Incarceration,60,0,60,0,100,,,
18421,18421,3901716,1397135,1,2011,Black,M,18-21,Unarmed Carjacking,Violent,,M5,Incarceration,84,0,84,0,100,,,
18422,18422,6972776,8843195,1,2011,Black,F,51-60,Distribution Of a Controlled Substance,Drug,,D2,Probation,24,24,0,24,100,,,
18423,18423,2437627,4296352,1,2011,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D3,Short Split,10,6,4,18,100,,,
18424,18424,8959974,7572117,4,2011,Black,M,22-30,Destruction of Property over $200,Property,,M8,Probation,12,12,0,18,100,,,
18425,18425,6456298,371344,1,2011,Black,M,,Burglary Two,Property,,M7,Incarceration,30,0,30,0,100,0,0,0
18426,18426,4493185,2178871,1,2011,Black,M,22-30,Contempt - Felony,Other,,M9,Incarceration,5,0,5,0,100,0,0,0
18427,18427,4493185,2178871,2,2011,Black,M,22-30,Contempt - Felony,Other,,M9,Incarceration,5,0,5,0,100,0,0,0
18428,18428,3900480,7165940,1,2011,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D2,Short Split,20,20,1,12,150,,,
18429,18429,2306090,287063,1,2011,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,42,0,42,0,100,0,0,0
18430,18430,2306090,287063,2,2011,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Incarceration,42,0,42,0,100,0,0,0
18431,18431,2989090,7056618,1,2011,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Probation,24,24,0,24,100,,,
